1700|Richard|32|
1701|Ronald|55|e6k9FYg3sN
1702|Grover|43|myF6PRRERn
1703|Woodrow|45|ZDp2cNru13
1704|Thomas|33|
1705|Theodore|34|
1706|Chester|48|HH0dKeCRTQ
1707|Bill|41|QKMv5H1N4z
1708|Richard|28|
1709|Ronald|31|
1710|Lyndon|58|cU2B7DHqeo
1711|Grover|55|XXNDSiPbgb
1712|Ulysses|48|oj86ilSrSm
1713|Franklin|50|8t0rBhXeRK
1714|Woodrow|49|Pqc6YlRf6s
1715|Theodore|39|
1716|Chester|52|TLzr3iCZ2G
1717|George|32|
1718|Theodore|26|
1719|Theodore|46|njFB1chuoU
1720|Ulysses|28|
1721|Andrew|43|L7c1QbuVOl
1722|Woodrow|47|aSpuEzoy8j
1723|Rutherford|31|
1724|James|26|
1725|Warren|38|
1726|Ulysses|49|OhdYh0QtVC
1727|Richard|52|lVirxUkxBF
1728|Franklin|40|
1729|Warren|49|0JKUYjUoa1
1730|Richard|26|
1731|Grover|43|FJ2fDLamBl
1732|Jimmy|45|YgJAOmviY7
1733|Lyndon|36|
1734|Millard|41|fuDkQgqf2C
1735|Ulysses|44|KK3ypz96zz
1736|Martin|59|2gVIo6Vzkp
1737|Bill|48|e6GsGTNMCG
1738|Warren|56|NKwckI3lvo
1739|Thomas|48|z3jPXMenJt
1740|Theodore|28|
1741|Calvin|43|xUGBDrmbv5
1742|Rutherford|49|lWP2eDMHC0
1743|Grover|53|5crQcoTfgZ
1744|Lyndon|48|2AsmLgdkxD
1745|Lyndon|49|gtTzgvmZ1i
1746|Jimmy|29|
1747|William|26|
1748|Millard|60|1vI36f3XQv
1749|James|42|4mHapfcKIF
1750|George|39|
1751|Benjamin|31|
1752|Herbert|43|pTuNGSJuZD
1753|Franklin|28|
1754|Theodore|32|
1755|Ronald|29|
1756|Woodrow|43|OtAoiW7Q9W
1757|Woodrow|39|
1758|William|45|TI62z9ddo8
1759|William|56|rF1IQo2TR5
1760|George|46|Ygfo7uULdB
1761|Rutherford|45|ApIYymHzBi
1762|Ulysses|36|
1763|Bill|33|
1764|Bill|41|1OqjyWw990
1765|Martin|54|xC2eXi4XN5
1766|Thomas|43|Aa0oCCPa6w
1767|Millard|37|
1768|Ulysses|56|95YEp62lpX
1769|Bill|28|
1770|Martin|56|GfVhAUQmkH
1771|Gerald|33|
1772|Richard|49|ITZrdTzV5o
1773|Herbert|39|
1774|Millard|46|X4ee8ZSNLa
1775|Chester|46|u7lnHFMIij
1776|Calvin|54|EoL8CLZcPr
1777|Thomas|60|ZOvjxPemSy
1778|John|47|gzponWeEU5
1779|William|39|
1780|Chester|51|JzmaRiOcBe
1781|Lyndon|59|0F84gSTCiL
1782|Lyndon|56|bo3vZkACGB
1783|Millard|37|
1784|Grover|26|
1785|Chester|50|Hw6ospZb5T
1786|Gerald|27|
1787|Dwight|36|
1788|John|50|6ZNeRaxIQq
1789|John|40|
1790|Dwight|36|
1791|Rutherford|53|9o0h6BWAi2
1792|Bill|44|KSf9uKJbOL
1793|Richard|40|
1794|Gerald|40|
1795|Theodore|41|fUybW08F45
1796|Martin|52|qLhHS3CnWO
1797|George|28|
1798|Andrew|51|W78SpAOwj9
1799|Grover|40|
